     t       phi_c          AF          MA          CA          CN         CNQ         CLP         CMQ         XCP         XCG
  0.75        0.00        2.45        0.26        0.29        0.95       73.05      -19.31     -580.24       10.11        7.78
  0.76        0.00        2.36        0.26        0.28        0.89       73.30      -19.34     -581.63       10.10        7.77
  0.77        0.00        2.27        0.27        0.28        0.84       73.55      -19.37     -583.02       10.09        7.77
  0.78        0.00        2.18        0.27        0.28        0.78       73.80      -19.40     -584.42       10.07        7.77
  0.79        0.00        2.09        0.27        0.28        0.73       74.06      -19.43     -585.82       10.06        7.77
  0.80        0.00        2.00        0.28        0.28        0.67       74.31      -19.46     -587.23       10.04        7.77
  0.81        0.00        1.90        0.28        0.28        0.64       74.57      -19.48     -588.65       10.03        7.77
  0.82        0.00        1.81        0.29        0.28        0.61       74.83      -19.51     -590.07       10.02        7.77
  0.83        0.00        1.71        0.29        0.28        0.58       75.09      -19.54     -591.50       10.01        7.77
  0.84        0.00        1.62        0.30        0.28        0.55       75.35      -19.57     -592.94        9.99        7.77
  0.85        0.00        1.52        0.30        0.28        0.51       75.61      -19.60     -594.38        9.98        7.77
  0.86        0.00        1.42        0.30        0.28        0.48       75.87      -19.63     -595.83        9.97        7.76
  0.87        0.00        1.33        0.31        0.28        0.45       76.13      -19.66     -597.29        9.96        7.76
  0.88        0.00        1.23        0.31        0.28        0.42       76.40      -19.69     -598.75        9.95        7.76
  0.89        0.00        1.13        0.32        0.28        0.38       76.66      -19.72     -600.22        9.93        7.76
  0.90        0.00        1.03        0.32        0.28        0.35       76.93      -19.75     -601.70        9.92        7.76
  0.91        0.00        0.94        0.33        0.28        0.32       77.20      -19.78     -603.18        9.91        7.76
  0.92        0.00        0.84        0.33        0.28        0.28       77.47      -19.81     -604.67        9.90        7.76
  0.93        0.00        0.74        0.34        0.28        0.25       77.74      -19.84     -606.17        9.89        7.76
  0.94        0.00        0.65        0.34        0.28        0.22       78.01      -19.87     -607.68        9.88        7.76
  0.95        0.00        0.55        0.34        0.28        0.19       78.29      -19.90     -609.19        9.86        7.75
  0.96        0.00        0.45        0.35        0.28        0.15       78.56      -19.93     -610.70        9.85        7.75
  0.97        0.00        0.36        0.35        0.28        0.12       78.84      -19.97     -612.23        9.84        7.75
  0.98        0.00        0.26        0.36        0.28        0.09       79.12      -20.00     -613.76        9.83        7.75
  0.99        0.00        0.17        0.36        0.28        0.06       79.39      -20.03     -615.30        9.82        7.75
  1.00        0.00        0.08        0.37        0.28        0.03       79.67      -20.06     -616.84        9.81        7.75
  1.01       -3.14        0.01        0.37        0.28        0.00       79.95      -20.09     -618.39        9.80        7.75
  1.02       -3.14        0.10        0.38        0.28        0.03       80.24      -20.12     -619.94        9.82        7.75
  1.03       -3.14        0.19        0.38        0.28        0.06       80.52      -20.15     -621.50        9.83        7.74
  1.04       -3.14        0.28        0.39        0.28        0.09       80.80      -20.19     -623.05        9.84        7.74
  1.05       -3.14        0.36        0.39        0.28        0.12       81.08      -20.22     -624.61        9.85        7.74
  1.06       -3.14        0.44        0.40        0.28        0.15       81.37      -20.25     -626.18        9.86        7.74
  1.07       -3.14        0.52        0.40        0.28        0.18       81.65      -20.28     -627.74        9.87        7.74
  1.08       -3.14        0.60        0.40        0.28        0.21       81.93      -20.31     -629.31        9.88        7.74
  1.09       -3.14        0.68        0.41        0.28        0.23       82.22      -20.35     -630.88        9.89        7.74
  1.10       -3.14        0.75        0.41        0.28        0.26       82.50      -20.38     -632.45        9.90        7.74
  1.11       -3.14        0.82        0.42        0.28        0.28       82.79      -20.41     -634.03        9.91        7.74
  1.12       -3.14        0.89        0.42        0.28        0.31       83.07      -20.44     -635.61        9.92        7.73
  1.13       -3.14        0.96        0.43        0.28        0.33       83.36      -20.47     -637.19        9.93        7.73
  1.14       -3.14        1.02        0.43        0.28        0.35       83.65      -20.51     -638.77        9.94        7.73
  1.15       -3.14        1.08        0.44        0.28        0.37       83.93      -20.54     -640.36        9.95        7.73
  1.16       -3.14        1.13        0.44        0.28        0.39       84.22      -20.57     -641.95        9.95        7.73
  1.17       -3.14        1.18        0.45        0.28        0.41       84.51      -20.60     -643.54        9.96        7.73
  1.18       -3.14        1.23        0.45        0.28        0.42       84.80      -20.64     -645.13        9.97        7.73
  1.19       -3.14        1.27        0.46        0.28        0.44       85.09      -20.67     -646.73        9.97        7.73
  1.20       -3.14        1.31        0.46        0.28        0.45       85.38      -20.70     -648.33        9.98        7.73
  1.21       -3.14        1.34        0.47        0.28        0.46       85.67      -20.73     -649.93        9.98        7.72
  1.22       -3.14        1.38        0.47        0.28        0.47       85.96      -20.77     -651.54        9.99        7.72
  1.23       -3.14        1.40        0.48        0.28        0.48       86.25      -20.80     -653.15        9.99        7.72
  1.24       -3.14        1.42        0.48        0.28        0.49       86.54      -20.83     -654.76        9.99        7.72
  1.25       -3.14        1.44        0.49        0.28        0.50       86.83      -20.87     -656.37       10.00        7.72
  1.26       -3.14        1.45        0.49        0.28        0.50       87.13      -20.90     -657.99       10.00        7.72
  1.27       -3.14        1.46        0.50        0.28        0.50       87.42      -20.93     -659.61       10.00        7.72
  1.28       -3.14        1.46        0.50        0.28        0.50       97.53      -18.51     -582.91       10.00        7.72
  1.29       -3.14        1.45        0.51        0.28        0.50       97.67      -18.58     -585.81       10.00        7.71
  1.30       -3.14        1.44        0.51        0.28        0.50       97.80      -18.66     -588.71       10.00        7.71
  1.31       -3.14        1.43        0.52        0.28        0.49       97.94      -18.73     -591.62       10.00        7.71
  1.32       -3.14        1.41        0.52        0.28        0.49       98.07      -18.80     -594.54       10.00        7.71
  1.33       -3.14        1.39        0.53        0.28        0.48       98.21      -18.88     -597.45       10.00        7.71
  1.34        3.14        1.36        0.53        0.28        0.47       98.34      -18.95     -600.38       10.00        7.71
  1.35        3.14        1.33        0.53        0.28        0.46       98.48      -19.02     -603.31       10.00        7.71
  1.36        3.14        1.29        0.54        0.29        0.45       98.61      -19.10     -606.24       10.00        7.71
  1.37        3.14        1.25        0.54        0.29        0.43       98.75      -19.17     -609.18       10.00        7.70
  1.38        3.14        1.20        0.55        0.29        0.41       98.89      -19.25     -612.13       10.00        7.70
  1.39        3.14        1.15        0.55        0.29        0.40       99.02      -19.32     -615.08       10.00        7.70
  1.40        3.14        1.10        0.56        0.29        0.38       99.16      -19.40     -618.03        9.99        7.70
  1.41        3.14        1.04        0.56        0.29        0.36       99.30      -19.47     -620.99        9.99        7.70
  1.42        3.14        0.98        0.57        0.29        0.34       99.43      -19.55     -623.95        9.99        7.70
  1.43       -3.14        0.91        0.57        0.29        0.31       99.57      -19.62     -626.92        9.98        7.70
  1.44        3.14        0.84        0.58        0.29        0.29       99.71      -19.69     -629.90        9.98        7.70
  1.45        3.14        0.77        0.58        0.29        0.27       99.85      -19.77     -632.88        9.98        7.70
  1.46       -3.14        0.70        0.59        0.29        0.24       99.99      -19.85     -635.86        9.98        7.69
  1.47        3.14        0.62        0.59        0.29        0.22      100.12      -19.92     -638.85        9.97        7.69
  1.48       -3.14        0.55        0.60        0.29        0.19      100.26      -20.00     -641.85        9.97        7.69
  1.49        3.14        0.47        0.60        0.29        0.16      100.40      -20.07     -644.85        9.97        7.69
  1.50        3.14        0.39        0.61        0.29        0.13      100.54      -20.15     -647.85        9.96        7.69
  1.51       -3.14        0.31        0.61        0.30        0.11      100.68      -20.22     -650.86        9.96        7.69
  1.52        3.14        0.23        0.62        0.30        0.08      100.82      -20.30     -653.88        9.96        7.69
  1.53       -3.14        0.15        0.63        0.30        0.05      100.96      -20.38     -656.90        9.96        7.69
  1.54        3.14        0.07        0.63        0.30        0.03      101.10      -20.45     -659.92        9.95        7.68
  1.55        0.00        0.00        0.64        0.30        0.00      101.24      -20.53     -662.95        9.95        7.68
  1.56        0.00        0.08        0.64        0.30        0.03      101.38      -20.60     -665.99        9.96        7.68
  1.57        0.00        0.15        0.65        0.30        0.05      101.52      -20.68     -669.03        9.97        7.68
  1.58       -0.00        0.23        0.65        0.30        0.08      101.66      -20.76     -672.07        9.98        7.68
  1.59       -0.00        0.30        0.66        0.30        0.10      101.80      -20.83     -675.12        9.99        7.68
  1.60       -0.00        0.36        0.66        0.30        0.12      101.95      -20.91     -678.18       10.00        7.68
  1.61       -0.00        0.42        0.67        0.30        0.15      102.09      -20.99     -681.24       10.01        7.68
  1.62       -0.00        0.48        0.67        0.30        0.17      102.23      -21.07     -684.30       10.01        7.67
  1.63       -0.00        0.54        0.68        0.30        0.19      102.37      -21.14     -687.37       10.02        7.67
  1.64       -0.00        0.59        0.68        0.30        0.20      102.51      -21.22     -690.44       10.03        7.67
  1.65       -0.00        0.63        0.69        0.30        0.22      102.66      -21.30     -693.52       10.03        7.67
  1.66       -0.00        0.67        0.69        0.31        0.23      102.80      -21.38     -696.61       10.04        7.67
  1.67       -0.00        0.70        0.70        0.31        0.24      102.94      -21.45     -699.70       10.04        7.67
  1.68       -0.00        0.73        0.70        0.31        0.25      103.09      -21.53     -702.79       10.05        7.67
  1.69       -0.00        0.75        0.71        0.31        0.26      103.23      -21.61     -705.89       10.05        7.67
  1.70       -0.00        0.77        0.71        0.31        0.27      103.37      -21.69     -708.99       10.06        7.66
  1.71       -0.00        0.78        0.72        0.31        0.27      103.52      -21.77     -712.10       10.06        7.66
  1.72       -0.00        0.78        0.72        0.31        0.27      103.66      -21.85     -715.21       10.07        7.66
  1.73       -0.00        0.78        0.73        0.31        0.27      103.81      -21.92     -718.33       10.07        7.66
  1.74       -0.00        0.77        0.73        0.31        0.27      103.95      -22.00     -721.46       10.07        7.66
  1.75       -0.00        0.76        0.74        0.31        0.26      104.10      -22.08     -724.59       10.07        7.66
  1.76       -0.00        0.74        0.74        0.31        0.25      104.24      -22.16     -727.72       10.08        7.66
  1.77       -0.00        0.71        0.75        0.31        0.25      104.39      -22.24     -730.86       10.08        7.66
  1.78       -0.00        0.68        0.75        0.31        0.23      104.53      -22.32     -734.00       10.08        7.66
  1.79       -0.00        0.64        0.76        0.31        0.22      104.68      -22.40     -737.15       10.08        7.65
  1.80       -0.00        0.60        0.77        0.32        0.21      104.82      -22.48     -740.31       10.08        7.65
  1.81       -0.00        0.56        0.77        0.32        0.19      104.97      -22.56     -743.46       10.09        7.65
  1.82       -0.00        0.51        0.78        0.32        0.17      105.12      -22.64     -746.63       10.09        7.65
  1.83       -0.00        0.45        0.78        0.32        0.16      105.26      -22.72     -749.80       10.09        7.65
  1.84       -0.00        0.39        0.79        0.32        0.14      105.41      -22.80     -752.97       10.09        7.65
  1.85       -0.00        0.34        0.79        0.32        0.12      105.56      -22.88     -756.15       10.09        7.65
  1.86       -0.00        0.27        0.80        0.32        0.09      105.71      -22.96     -759.34       10.10        7.65
  1.87       -0.00        0.21        0.80        0.32        0.07      190.72      -38.41    -1405.71       10.09        7.64
  1.88       -0.00        0.15        0.81        0.33        0.05      189.72      -38.28    -1400.21       10.08        7.64
  1.89       -0.00        0.09        0.81        0.33        0.03      188.72      -38.15    -1394.71       10.08        7.64
  1.90       -0.00        0.03        0.82        0.34        0.01      187.72      -38.02    -1389.20       10.07        7.64
  1.91       -3.14        0.03        0.82        0.34        0.01      186.72      -37.90    -1383.69       10.06        7.64
  1.92        3.14        0.09        0.83        0.35        0.03      185.71      -37.77    -1378.16       10.06        7.64
  1.93       -3.14        0.14        0.83        0.35        0.05      184.71      -37.64    -1372.63       10.05        7.64
  1.94        3.14        0.19        0.84        0.36        0.07      183.70      -37.51    -1367.09       10.04        7.64
  1.95       -3.14        0.24        0.85        0.36        0.08      182.69      -37.38    -1361.54       10.03        7.63
  1.96        3.14        0.28        0.85        0.37        0.10      181.68      -37.26    -1355.99       10.02        7.63
  1.97       -3.14        0.32        0.86        0.37        0.11      180.67      -37.13    -1350.42       10.01        7.63
  1.98        3.14        0.35        0.86        0.38        0.12      179.66      -37.00    -1344.85       10.00        7.63
  1.99       -3.14        0.38        0.87        0.38        0.13      178.65      -36.87    -1339.27        9.99        7.63
  2.00        3.14        0.40        0.87        0.39        0.14      177.63      -36.74    -1333.69        9.98        7.63
  2.01        3.14        0.42        0.88        0.39        0.14      176.62      -36.61    -1328.10        9.97        7.63
  2.02        3.14        0.43        0.88        0.40        0.15      175.60      -36.48    -1322.49        9.96        7.62
  2.03        3.14        0.44        0.89        0.40        0.15      174.58      -36.35    -1316.89        9.95        7.62
  2.04        3.14        0.44        0.89        0.41        0.15      173.56      -36.22    -1311.27        9.94        7.62
  2.05        3.14        0.44        0.90        0.41        0.15      172.53      -36.09    -1305.64        9.94        7.62
  2.06        3.14        0.43        0.91        0.42        0.14      171.51      -35.96    -1300.01        9.93        7.62
  2.07        3.14        0.41        0.91        0.42        0.14      170.49      -35.83    -1294.37        9.92        7.62
  2.08        3.14        0.39        0.92        0.43        0.13      169.46      -35.70    -1288.72        9.91        7.62
  2.09        3.14        0.37        0.92        0.43        0.12      168.43      -35.57    -1283.06        9.91        7.62
  2.10       -3.14        0.34        0.93        0.44        0.11      167.40      -35.44    -1277.39        9.90        7.61
  2.11       -3.14        0.31        0.93        0.44        0.10      166.37      -35.31    -1271.72        9.90        7.61
  2.12        3.14        0.28        0.94        0.45        0.09      165.34      -35.18    -1266.04        9.89        7.61
  2.13        3.14        0.24        0.94        0.45        0.08      164.30      -35.04    -1260.35        9.89        7.61
  2.14       -3.14        0.20        0.95        0.46        0.07      163.27      -34.91    -1254.65        9.89        7.61
  2.15       -3.14        0.16        0.96        0.46        0.05      162.23      -34.78    -1248.94        9.89        7.61
  2.16        3.14        0.12        0.96        0.47        0.04      161.19      -34.65    -1243.23        9.89        7.61
  2.17        3.14        0.08        0.97        0.47        0.03      160.15      -34.52    -1237.51        9.89        7.61
  2.18       -3.14        0.04        0.97        0.48        0.01      159.11      -34.38    -1231.78        9.89        7.60
  2.19       -0.00        0.00        0.98        0.48        0.00      158.07      -34.25    -1226.05        9.89        7.60
  2.20       -0.00        0.04        0.98        0.49        0.01      157.03      -34.12    -1220.30        9.87        7.60
  2.21       -0.00        0.08        0.99        0.49        0.03      155.98      -33.99    -1214.55        9.86        7.60
  2.22       -0.00        0.12        0.99        0.50        0.04      154.93      -33.85    -1208.79        9.85        7.60
  2.23       -0.00        0.15        1.00        0.50        0.05      153.89      -33.72    -1203.03        9.83        7.60
  2.24       -0.00        0.18        1.01        0.51        0.06      152.84      -33.58    -1197.25        9.82        7.60
  2.25       -0.00        0.21        1.01        0.51        0.07      151.79      -33.45    -1191.47        9.80        7.60
  2.26       -0.00        0.24        1.02        0.52        0.08      150.74      -33.32    -1185.68        9.79        7.59
  2.27       -0.00        0.26        1.02        0.52        0.08      149.68      -33.18    -1179.89        9.78        7.59
  2.28       -0.00        0.27        1.03        0.53        0.09      148.63      -33.05    -1174.08        9.76        7.59
  2.29       -0.00        0.28        1.03        0.53        0.09      147.57      -32.91    -1168.27        9.75        7.59
  2.30       -0.00        0.29        1.04        0.54        0.09      146.51      -32.78    -1162.46        9.74        7.59
  2.31       -0.00        0.30        1.05        0.54        0.10      145.46      -32.65    -1156.63        9.73        7.59
  2.32       -0.00        0.30        1.05        0.55        0.10      144.40      -32.51    -1150.80        9.72        7.59
  2.33       -0.00        0.29        1.06        0.55        0.09      143.34      -32.38    -1144.96        9.72        7.59
  2.34       -0.00        0.28        1.06        0.56        0.09      142.27      -32.24    -1139.12        9.71        7.58
  2.35       -0.00        0.27        1.07        0.56        0.09      141.21      -32.11    -1133.26        9.71        7.58
  2.36       -0.00        0.26        1.07        0.57        0.08      140.14      -31.97    -1127.40        9.70        7.58
  2.37       -0.00        0.24        1.08        0.57        0.08      139.08      -31.83    -1121.54        9.70        7.58
  2.38       -0.00        0.22        1.09        0.58        0.07      138.01      -31.70    -1115.66        9.70        7.58
  2.39       -0.00        0.20        1.09        0.58        0.06      136.94      -31.56    -1109.78        9.70        7.58
  2.40       -0.00        0.17        1.10        0.59        0.05      135.87      -31.43    -1103.90        9.70        7.58
  2.41       -0.00        0.14        1.10        0.59        0.05      134.80      -31.29    -1098.00        9.70        7.57
  2.42       -0.00        0.12        1.11        0.60        0.04      133.73      -31.15    -1092.10        9.70        7.57
  2.43       -0.00        0.09        1.11        0.60        0.03      132.66      -31.02    -1086.20        9.70        7.57
  2.44        0.00        0.06        1.12        0.61        0.02      131.58      -30.88    -1080.28        9.71        7.57
  2.45        0.00        0.03        1.13        0.61        0.01      130.51      -30.74    -1074.36        9.71        7.57
  2.46        0.00        0.00        1.13        0.62        0.00      129.43      -30.61    -1068.44        9.72        7.57
  2.47        3.14        0.02        1.14        0.62        0.01      128.35      -30.47    -1062.50        9.70        7.57
  2.48       -3.14        0.05        1.14        0.63        0.02      127.27      -30.33    -1056.56        9.68        7.57
  2.49        3.14        0.07        1.15        0.63        0.02      126.19      -30.19    -1050.62        9.67        7.56
  2.50       -3.14        0.10        1.16        0.64        0.03      125.11      -30.06    -1044.67        9.65        7.56
  2.51       -3.14        0.11        1.16        0.65        0.04      124.03      -29.92    -1038.71        9.64        7.56
  2.52       -3.14        0.13        1.17        0.65        0.04      122.94      -29.78    -1032.75        9.62        7.56
  2.53       -3.14        0.14        1.17        0.66        0.04      121.86      -29.64    -1026.78        9.61        7.56
  2.54       -3.14        0.15        1.18        0.66        0.05      120.77      -29.50    -1020.80        9.60        7.56
  2.55       -3.14        0.16        1.18        0.67        0.05      119.68      -29.37    -1014.82        9.59        7.56
  2.56        3.14        0.17        1.19        0.67        0.05      118.60      -29.23    -1008.83        9.58        7.55
  2.57       -3.14        0.17        1.20        0.68        0.05      117.51      -29.09    -1002.84        9.57        7.55
  2.58        3.14        0.17        1.20        0.68        0.05       79.86      -25.42     -802.81        9.56        7.55
  2.59       -3.14        0.16        1.21        0.68        0.05       79.49      -25.35     -800.63        9.54        7.55
  2.60        3.14        0.15        1.21        0.67        0.05       79.11      -25.28     -798.44        9.52        7.55
  2.61       -3.14        0.14        1.22        0.67        0.04       78.74      -25.21     -796.25        9.51        7.55
  2.62       -3.14        0.13        1.23        0.67        0.04       78.37      -25.14     -794.05        9.49        7.55
  2.63       -3.14        0.12        1.23        0.67        0.04       78.00      -25.07     -791.86        9.48        7.55
  2.64       -3.14        0.10        1.24        0.66        0.03       77.62      -25.00     -789.65        9.46        7.54
  2.65        3.14        0.08        1.24        0.66        0.03       77.25      -24.93     -787.45        9.45        7.54
  2.66        3.14        0.06        1.25        0.66        0.02       76.87      -24.86     -785.24        9.44        7.54
  2.67        3.14        0.05        1.26        0.66        0.01       76.49      -24.79     -783.02        9.43        7.54
  2.68        3.14        0.03        1.26        0.65        0.01       76.12      -24.72     -780.81        9.41        7.54
  2.69        3.14        0.01        1.27        0.65        0.00       75.74      -24.65     -778.59        9.40        7.54
  2.70        0.00        0.01        1.27        0.65        0.00       75.36      -24.58     -776.36        9.38        7.54
  2.71        0.00        0.03        1.28        0.65        0.01       74.98      -24.51     -774.13        9.35        7.53
  2.72        0.00        0.05        1.29        0.64        0.01       74.60      -24.43     -771.90        9.32        7.53
  2.73        0.00        0.07        1.29        0.64        0.02       74.22      -24.36     -769.67        9.29        7.53
  2.74        0.00        0.08        1.30        0.64        0.02       73.84      -24.29     -767.43        9.26        7.53
  2.75        0.00        0.09        1.30        0.64        0.03       73.46      -24.22     -765.18        9.24        7.53
  2.76        0.00        0.11        1.31        0.63        0.03       73.08      -24.15     -762.94        9.21        7.53
  2.77        0.00        0.12        1.32        0.63        0.03       72.70      -24.08     -760.69        9.19        7.53
  2.78        0.00        0.12        1.32        0.63        0.04       72.31      -24.01     -758.43        9.16        7.52
  2.79        0.00        0.13        1.33        0.63        0.04       71.93      -23.94     -756.17        9.14        7.52
  2.80        0.00        0.13        1.33        0.62        0.04       71.54      -23.86     -753.91        9.12        7.52
  2.81       -0.00        0.13        1.34        0.62        0.04       71.16      -23.79     -751.64        9.09        7.52
  2.82       -0.00        0.13        1.35        0.62        0.04       70.77      -23.72     -749.37        9.07        7.52
  2.83       -0.00        0.13        1.35        0.61        0.04       70.39      -23.65     -747.10        9.05        7.52
  2.84       -0.00        0.13        1.36        0.61        0.04       70.00      -23.58     -744.82        9.03        7.52
  2.85       -0.00        0.12        1.36        0.61        0.04       69.61      -23.50     -742.54        9.01        7.52
  2.86       -0.00        0.12        1.37        0.61        0.03       69.22      -23.43     -740.26        9.00        7.51
  2.87       -0.00        0.11        1.38        0.60        0.03       68.83      -23.36     -737.97        8.98        7.51
  2.88       -0.00        0.10        1.38        0.60        0.03       68.44      -23.29     -735.67        8.96        7.51
  2.89       -0.00        0.09        1.39        0.60        0.02       68.05      -23.21     -733.38        8.94        7.51
  2.90       -0.00        0.07        1.39        0.60        0.02       67.66      -23.14     -731.07        8.93        7.51
